Основаня целевая функция;Вспомогательные функции;;;Результаты расчетов (тоже вспомогательные целевые функции);;;;;;Категорияальные переменные;;Переменные (прочерк значит, что переменные не участвуют при данном типе заканчивания или сетки);;;;;;;;;;;;;;;;;;;;;;;;
Дисконтированная прибыль;;;;Накпленная добыча жидкости;Накпленная добыча нефти;Накпленная добыча газа;Накпленная закачка воды;Обводненность на посл. Мес. Расчета;Пластовое давление на последний месяц расчета;Тип скважины (1 - ННС, 2 - ННС с ГРП, 3 - ГС, 4 - ГС с ГРП);Тип системы разработки/сетка (1 - 5-точка, 2 - 9-точка, 3 - 7-точка);Площадь на скважину;Забойное давление добывающих скв.;Забойное давление нагн. Скв.;Проницаемость;Эф. Толщина пласта;соотношение расстояний м-у скв. И рядами;Пористость;Начальная водонасыщенность;Коэф. Дейекстра (для ОФП);Давление начала выделения газа;Вязкость нефти;Объемный коэф.нефти;Плотность нефти;Вязкость воды;Объемный коэф. воды;Начальное пластовое давление;Полудлина ГРП доб.скв.;Полудлина ГРП нагн.скв.;Проницаемость ГРП;Ширина ГРП доб.скв.;Ширина ГРП нагн.скв.;Длина ГС доб;Длина ГС нагн;Кол-во ГРП на доб.скв.;Кол-во ГРП на нагн скв.
NPV;RF;PI;IRP;FLPT;FOPT;FGPT;FWIT;Wc;Pres;Well_type;Devlopment_type;PSS;Pprod;Pinj;Perm;h;a/b;Poro;Sw;VdP;Pbp;mo;Bo;po;mw;Bw;Pres;Lfracprod;Lfracinj;Frac_perm;Wprod;Winj;Lgsprod;Lgsinj;Nfracprod;Nfracinj
-487.005;0.269;0.069;0;133.674;115.927;24.776;202.832;0.431;305.424;1;1;25;245;435;2.06;6;3.8;0.14;0.1;0.2;273;1.2;1.02;0.7;0.3;1.04;338;-;-;-;-;-;-;-;-;-
1216.438;0.584;3.091;1;1732.293;1376.57;194.062;2237.65;0.545;197.238;1;1;98;74;379;30.6;6;2.2;0.16;0.08;0.19;183;0.3;1.01;0.7;0.5;1.05;261;-;-;-;-;-;-;-;-;-
3972.379;0.733;8.281;1;4376.74;3246.7;316.905;5295.97;0.778;242.988;1;1;53;102;440;39.06;16;1.5;0.18;0.04;0.07;132;0.7;1.08;0.7;0.9;1.03;277;-;-;-;-;-;-;-;-;-
1507.007;0.412;3.742;1;1789.424;1402.79;292.509;2678.83;0.539;289.658;1;1;58;216;468;27.88;14;4.4;0.2;0.08;0.42;266;1.1;1.2;0.8;1;1.01;327;-;-;-;-;-;-;-;-;-
3318.695;0.329;7.038;1;4657.92;3274.04;331.162;5781.57;0.593;267.14;1;1;58;226;331;20.12;37;4;0.17;0.04;0.21;136;1;1.09;0.7;0.3;1.01;241;-;-;-;-;-;-;-;-;-
3962.846;0.438;7.986;1;4070.018;3568.82;593.056;6064.34;0.398;232.803;1;1;80;159;378;43.59;23;3.2;0.19;0.05;0.45;292;1.1;1.01;0.8;0.9;1;208;-;-;-;-;-;-;-;-;-
10060.301;0.629;19.331;1;10573.68;5968.73;748.397;13243.7;0.765;201.386;1;1;57;71;357;40.84;48;3.7;0.15;0.13;0.18;168;0.7;1.15;0.8;0.9;0.99;163;-;-;-;-;-;-;-;-;-
2008.797;0.279;4.532;1;2382.873;2224.9;207.985;2490.48;0.07;158.468;1;1;82;15;399;11.36;20;0.4;0.19;0.17;0.38;127;0.3;1.01;0.7;0.6;0.98;331;-;-;-;-;-;-;-;-;-
1229.692;0.306;3.126;1;1593.387;1462.33;312.864;2574.41;0.339;307.407;1;1;94;265;472;31.39;12;4.3;0.19;0.02;0.09;274;1.3;1.14;0.8;0.9;1;336;-;-;-;-;-;-;-;-;-
