Основаня целевая функция;Вспомогательные функции;;;Результаты расчетов (тоже вспомогательные целевые функции);;;;;;Категорияальные переменные;;Переменные (прочерк значит, что переменные не участвуют при данном типе заканчивания или сетки);;;;;;;;;;;;;;;;;;;;;;;;
Дисконтированная прибыль;;;;Накпленная добыча жидкости;Накпленная добыча нефти;Накпленная добыча газа;Накпленная закачка воды;Обводненность на посл. Мес. Расчета;Пластовое давление на последний месяц расчета;Тип скважины (1 - ННС, 2 - ННС с ГРП, 3 - ГС, 4 - ГС с ГРП);Тип системы разработки/сетка (1 - 5-точка, 2 - 9-точка, 3 - 7-точка);Площадь на скважину;Забойное давление добывающих скв.;Забойное давление нагн. Скв.;Проницаемость;Эф. Толщина пласта;соотношение расстояний м-у скв. И рядами;Пористость;Начальная водонасыщенность;Коэф. Дейекстра (для ОФП);Давление начала выделения газа;Вязкость нефти;Объемный коэф.нефти;Плотность нефти;Вязкость воды;Объемный коэф. воды;Начальное пластовое давление;Полудлина ГРП доб.скв.;Полудлина ГРП нагн.скв.;Проницаемость ГРП;Ширина ГРП доб.скв.;Ширина ГРП нагн.скв.;Длина ГС доб;Длина ГС нагн;Кол-во ГРП на доб.скв.;Кол-во ГРП на нагн скв.
NPV;RF;PI;IRP;FLPT;FOPT;FGPT;FWIT;Wc;Pres;Well_type;Devlopment_type;PSS;Pprod;Pinj;Perm;h;a/b;Poro;Sw;VdP;Pbp;mo;Bo;po;mw;Bw;Pres;Lfracprod;Lfracinj;Frac_perm;Wprod;Winj;Lgsprod;Lgsinj;Nfracprod;Nfracinj
1594.866;0.267;3.742;1;1603.802;1361.4;290.959;1849.9;0.4;197.834;1;1;98;39;352;6.86;17;3.2;0.16;0.17;0.29;251;0.7;1.05;0.9;0.3;1;339;-;-;-;-;-;-;-;-;-
280.866;0.141;1.526;0.293;740.48;740.48;100.447;1082.91;0;189.523;1;1;38;137;363;4.71;28;2.1;0.18;0;0.5;274;0.8;1.2;0.9;0.8;1.01;174;-;-;-;-;-;-;-;-;-
-456.741;0.159;0.141;0;157.472;157.094;32.813;251.887;0.002;254.924;1;1;36;242;396;5.25;9;3.6;0.15;0.11;0.1;254;0.3;1.11;0.7;1;1.01;290;-;-;-;-;-;-;-;-;-
-126.817;0.268;0.781;0.127;447.819;434.793;62.637;623.043;0.03;248.677;1;1;96;226;411;25.86;4;2.6;0.2;0.19;0.18;183;0.2;1.05;0.8;0.9;1.03;277;-;-;-;-;-;-;-;-;-
-158.516;0.626;0.697;0.092;389.359;332.628;68.343;576.672;0.518;284.004;1;1;24;211;455;15.65;5;2.2;0.2;0.08;0.28;259;0.4;1.08;0.7;0.9;1.05;337;-;-;-;-;-;-;-;-;-
2836.762;0.264;6.169;1;3432.09;3432.09;326.007;4669.8;0;219.2;1;1;57;139;431;4.78;41;1.7;0.19;0.02;0.3;129;0.4;1.06;0.8;0.3;1;178;-;-;-;-;-;-;-;-;-
1639.422;0.291;3.862;1;1966.466;1794.4;299.339;2375.58;0.089;186.724;1;1;87;61;362;11.76;17;0.6;0.19;0.15;0.48;221;0.5;1.1;0.8;0.4;1.04;205;-;-;-;-;-;-;-;-;-
2237.235;0.74;5.047;1;5412.33;1617.59;280.917;6373.03;0.965;316.686;1;1;62;132;498;31.64;9;2.7;0.18;0.11;0.36;214;0.4;1.02;0.7;0.3;0.99;269;-;-;-;-;-;-;-;-;-
12.193;0.598;1.023;0.189;550.692;296.017;17.87;614.276;0.905;224.657;1;1;32;71;398;16.67;3;0.6;0.17;0.07;0.03;88;0.7;1.07;0.8;0.4;1.01;216;-;-;-;-;-;-;-;-;-
5861.226;0.713;11.79;1;12654.07;3722.08;525.737;14410.7;0.942;289.443;1;1;50;99;446;47.86;26;3.8;0.19;0.18;0.05;270;1.4;1.17;0.7;0.5;1.02;180;-;-;-;-;-;-;-;-;-
-163.171;0.562;0.697;0.092;346.347;257.164;9.51;391.666;0.572;294.335;1;1;44;203;457;28.14;2;2.9;0.17;0.07;0.27;58;0.4;1.2;0.9;0.9;1;233;-;-;-;-;-;-;-;-;-
148.905;0.129;1.269;0.25;624.482;606.912;83.811;470.344;0.03;154.656;1;1;62;36;320;1.24;41;1.3;0.08;0.15;0.15;180;0.2;1.05;0.8;0.6;1.04;177;-;-;-;-;-;-;-;-;-
14092.573;0.757;26.867;1;15539.01;7925.38;1099.04;19057.1;0.923;227.267;1;1;52;70;359;46.1;48;2.2;0.18;0.14;0.03;201;1.5;1.24;0.8;0.6;1.02;179;-;-;-;-;-;-;-;-;-
6764.962;0.772;13.697;1;9555.2;3165.99;458.495;10881.5;0.993;249.09;1;1;37;32;412;42.15;32;3.3;0.15;0.12;0.1;183;0.2;1.04;0.8;0.8;1.02;328;-;-;-;-;-;-;-;-;-
6084.098;0.752;12.575;1;11120.1;3085.46;621.872;12941.7;0.996;233.421;1;1;28;39;359;49.7;47;3.3;0.15;0.13;0.33;230;1;1.13;0.7;0.9;1.02;320;-;-;-;-;-;-;-;-;-
2523.665;0.783;5.801;1;4427.88;1035.71;173.478;4967.53;1;316.623;1;1;28;119;497;43.75;10;2.4;0.2;0.09;0.3;209;0.8;1.13;0.9;0.6;1.02;283;-;-;-;-;-;-;-;-;-
-40.357;0.193;0.928;0.162;556.524;540.672;46.196;678.584;0.193;159.316;1;1;72;64;410;1.28;30;4.2;0.05;0.11;0.14;118;0.6;1.11;0.7;0.5;1.04;183;-;-;-;-;-;-;-;-;-
-329.024;0.528;0.379;0.024;251.061;228.552;26.804;341.914;0.391;281.018;1;1;33;204;482;11.89;3;1.5;0.19;0.2;0.12;154;1.1;1.15;0.8;0.8;1.01;240;-;-;-;-;-;-;-;-;-
5140.029;0.787;10.809;1;10486.8;2648.26;582.859;12181.7;0.998;286.107;1;1;26;101;415;37.82;33;2.9;0.18;0.03;0.21;297;1.5;1.18;0.7;0.5;1.04;316;-;-;-;-;-;-;-;-;-
-256.128;0.37;0.535;0.041;360.812;274.538;26.8;454.782;0.55;300.848;1;1;59;228;458;24.41;3;5;0.15;0.03;0.32;132;0.6;1.08;0.7;1;0.99;298;-;-;-;-;-;-;-;-;-
6285.918;0.444;11.913;1;5903.25;3849.01;687.06;7844.87;0.689;300.032;1;1;91;197;485;41.17;25;5;0.17;0.08;0.34;219;0.7;1.08;0.9;0.9;1.04;323;-;-;-;-;-;-;-;-;-
2804.071;0.15;5.815;1;3323.699;3209.61;155.447;3834.3;0.034;200.95;1;1;99;163;355;10.91;47;2;0.17;0.19;0.02;73;1.4;1.21;0.8;0.7;1.02;208;-;-;-;-;-;-;-;-;-
2642.169;0.572;5.732;1;2573.18;2185.51;99.066;2980.9;0.466;302.048;1;1;69;232;450;39.41;11;2.1;0.15;0.02;0.04;69;0.5;1.19;0.9;0.8;0.99;311;-;-;-;-;-;-;-;-;-
109.964;0.183;1.199;0.221;628.611;625.101;24.522;726.186;0.006;291.574;1;1;62;216;498;4.8;12;0.8;0.15;0.11;0.05;61;1.2;1.11;0.9;0.5;1.04;258;-;-;-;-;-;-;-;-;-
1082.168;0.177;2.913;1;1746.06;1639.46;303.902;2624.99;0.061;262.985;1;1;78;245;348;11.82;37;2.1;0.15;0.15;0.47;226;0.3;1.11;0.7;0.5;0.99;314;-;-;-;-;-;-;-;-;-
6409.064;0.399;12.477;1;4693.149;4684.73;1110.32;6806.91;0.002;172.259;1;1;69;70;384;17.3;48;0.7;0.16;0.1;0.4;238;0.4;1.19;0.7;0.8;0.98;311;-;-;-;-;-;-;-;-;-
2300.38;0.691;5.363;1;2802.396;1956.07;354.527;3959.38;0.796;240.704;1;1;30;135;370;17.02;28;1.4;0.15;0.1;0.11;233;1.5;1.15;0.7;0.6;1;224;-;-;-;-;-;-;-;-;-
6556.229;0.637;13.159;1;5583.43;4347.97;154.318;6012.57;0.609;232.726;1;1;45;132;402;23.95;29;1.9;0.15;0;0.35;56;0.6;1.05;0.9;0.7;1.04;276;-;-;-;-;-;-;-;-;-
1079.257;0.336;2.887;0.979;1652.338;1346.46;64.164;1885.62;0.479;215.192;1;1;86;107;435;19.95;8;4.2;0.19;0.05;0.39;72;1.3;1.22;0.7;0.7;0.99;263;-;-;-;-;-;-;-;-;-
2182.735;0.663;5.14;1;2437.808;1500.19;147.768;2975.45;0.867;332.829;1;1;30;251;438;48.47;15;0.8;0.17;0.02;0.45;133;0.8;1.23;0.8;0.9;0.99;280;-;-;-;-;-;-;-;-;-
